;S1;S2;S3;S4;S5;S6;S7;S8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;F1;F2;F3;F4;F5;F6
S1;0,00;16,58;10,04;10,04;6,08;14,00;6,08;14,00;6,58;8,53;12,63;6,58;8,53;12,63;11,01;12,25;15,36;11,01;12,25;15,36;14,61;15,05;16,29;18,16;15,11;15,21;15,70;16,41;17,35;18,49
S2;16,58;0,00;10,04;10,04;14,00;6,08;14,00;6,08;12,63;8,53;6,58;12,63;8,53;6,58;15,36;12,25;11,01;15,36;12,25;11,01;18,16;16,29;15,05;14,61;18,49;17,35;16,41;15,70;15,21;15,11
S3;10,04;10,04;0,00;7,58;8,54;8,54;9,99;9,99;7,47;5,08;7,47;9,72;8,08;9,72;13,61;12,51;13,61;10,93;9,51;10,93;14,19;14,98;13,23;15,82;14,62;14,08;13,65;13,65;13,98;14,62
S4;10,04;10,04;7,58;0,00;9,99;9,99;8,54;8,54;9,72;8,08;9,72;7,47;5,08;7,47;10,93;9,51;10,93;13,61;12,51;13,61;15,82;13,23;14,98;14,19;14,62;14,08;13,65;13,65;13,98;14,62
S5;6,08;14,00;8,54;9,99;0,00;13,58;9,08;15,17;3,58;6,59;11,44;9,58;10,99;14,38;14,01;14,99;17,61;8,01;9,66;13,41;11,61;13,85;13,69;17,20;12,11;12,23;12,85;13,71;14,83;16,15
S6;14,00;6,08;8,54;9,99;13,58;0,00;15,17;9,08;11,44;6,59;3,58;14,38;10,99;9,58;17,61;14,99;14,01;13,41;9,66;8,01;15,89;15,19;12,17;13,37;16,15;15,07;13,71;12,85;12,30;12,11
S7;6,08;14,00;9,99;8,54;9,08;15,17;0,00;13,58;9,58;10,99;14,38;3,58;6,59;11,44;13,41;9,66;8,01;14,01;14,99;17,61;13,37;12,17;15,19;15,89;12,11;12,23;12,85;13,71;14,83;16,15
S8;14,00;6,08;9,99;8,54;15,17;9,08;13,58;0,00;14,38;10,99;9,58;11,44;6,59;3,58;8,01;9,66;13,41;17,61;14,99;14,01;15,89;15,19;12,17;13,37;16,15;15,07;13,71;12,85;12,30;12,11
G9;6,58;12,63;7,47;9,72;3,58;11,44;9,58;14,38;0,00;5,75;11,00;12,66;13,74;16,57;13,13;14,18;16,92;4,93;7,37;11,90;8,53;10,92;11,24;14,98;9,03;9,20;10,01;11,10;12,47;14,03
G10;8,53;8,53;5,08;8,08;6,59;6,59;10,99;10,99;5,75;0,00;5,75;13,74;12,66;13,74;18,35;17,56;18,35;7,37;4,93;7,37;10,16;10,45;8,73;11,66;10,52;9,74;9,09;9,09;9,59;10,52
G11;12,63;6,58;7,47;9,72;11,44;3,58;14,38;9,58;11,00;5,75;0,00;16,57;13,74;12,66;16,92;14,18;13,13;11,90;7,37;4,93;13,87;12,61;9,29;10,29;14,03;12,76;11,10;10,01;9,28;9,03
G12;6,58;12,63;9,72;7,47;9,58;14,38;3,58;11,44;12,66;13,74;16,57;0,00;5,75;11,00;4,93;7,37;11,90;13,13;14,18;16,92;10,29;9,29;12,61;13,87;9,03;9,20;10,01;11,10;12,47;14,03
G13;8,53;8,53;8,08;5,08;10,99;10,99;6,59;6,59;13,74;12,66;13,74;5,75;0,00;5,75;7,37;4,93;7,37;18,35;17,56;18,35;11,66;8,73;10,45;10,16;10,52;9,74;9,09;9,09;9,59;10,52
G14;12,63;6,58;9,72;7,47;14,38;9,58;11,44;3,58;16,57;13,74;12,66;11,00;5,75;0,00;11,90;7,37;4,93;16,92;14,18;13,13;14,98;11,24;10,92;8,53;14,03;12,76;11,10;10,01;9,28;9,03
G15;11,01;15,36;13,61;10,93;14,01;17,61;13,41;8,01;13,13;18,35;16,92;4,93;7,37;11,90;0,00;5,75;11,00;8,70;10,24;13,82;5,86;5,64;9,47;11,86;4,60;4,94;6,37;8,02;9,85;11,77
G16;12,25;12,25;12,51;9,51;14,99;14,99;9,66;9,66;14,18;17,56;14,18;7,37;4,93;7,37;5,75;0,00;5,75;10,24;8,70;10,24;8,12;4,54;6,15;7,04;7,16;5,92;4,73;4,73;5,67;7,16
G17;15,36;11,01;13,61;10,93;17,61;14,01;8,01;13,41;16,92;18,35;13,13;11,90;7,37;4,93;11,00;5,75;0,00;13,82;10,24;8,70;12,50;8,59;6,97;4,10;11,77;10,21;8,02;6,37;5,11;4,60
G18;11,01;15,36;10,93;13,61;8,01;13,41;14,01;17,61;4,93;7,37;11,90;13,13;18,35;16,92;8,70;10,24;13,82;0,00;5,75;11,00;4,10;6,97;8,59;12,50;4,60;4,94;6,37;8,02;9,85;11,77
G19;12,25;12,25;9,51;12,51;9,66;9,66;14,99;14,99;7,37;4,93;7,37;14,18;17,56;14,18;10,24;8,70;10,24;5,75;0,00;5,75;7,04;6,15;4,54;8,12;7,16;5,92;4,73;4,73;5,67;7,16
G20;15,36;11,01;10,93;13,61;13,41;8,01;17,61;14,01;11,90;7,37;4,93;16,92;18,35;13,13;13,82;10,24;8,70;11,00;5,75;0,00;11,86;9,47;5,64;5,86;11,77;10,21;8,02;6,37;5,11;4,60
G21;14,61;18,16;14,19;15,82;11,61;15,89;13,37;15,89;8,53;10,16;13,87;10,29;11,66;14,98;5,86;8,12;12,50;4,10;7,04;11,86;0,00;4,49;7,88;11,42;1,38;2,41;4,79;6,86;8,95;11,04
G22;15,05;16,29;14,98;13,23;13,85;15,19;12,17;15,19;10,92;10,45;12,61;9,29;8,73;11,24;5,64;4,54;8,59;6,97;6,15;9,47;4,49;0,00;4,49;7,88;4,11;2,50;1,62;3,44;5,48;7,56
G23;16,29;15,05;13,23;14,98;13,69;12,17;15,19;12,17;11,24;8,73;9,29;12,61;10,45;10,92;9,47;6,15;6,97;8,59;4,54;5,64;7,88;4,49;0,00;4,49;7,56;5,87;3,44;1,62;2,15;4,11
G24;18,16;14,61;15,82;14,19;17,20;13,37;15,89;13,37;14,98;11,66;10,29;13,87;10,16;8,53;11,86;7,04;4,10;12,50;8,12;5,86;11,42;7,88;4,49;0,00;11,04;9,34;6,86;4,79;2,78;1,38
F1;15,11;18,49;14,62;14,62;12,11;16,15;12,11;16,15;9,03;10,52;14,03;9,03;10,52;14,03;4,60;7,16;11,77;4,60;7,16;11,77;1,38;4,11;7,56;11,04;0,00;2,20;4,70;6,80;8,90;11,00
F2;15,21;17,35;14,08;14,08;12,23;15,07;12,23;15,07;9,20;9,74;12,76;9,20;9,74;12,76;4,94;5,92;10,21;4,94;5,92;10,21;2,41;2,50;5,87;9,34;2,20;0,00;3,00;5,10;7,20;9,30
F3;15,70;16,41;13,65;13,65;12,85;13,71;12,85;13,71;10,01;9,09;11,10;10,01;9,09;11,10;6,37;4,73;8,02;6,37;4,73;8,02;4,79;1,62;3,44;6,86;4,70;3,00;0,00;2,60;4,70;6,80
F4;16,41;15,70;13,65;13,65;13,71;12,85;13,71;12,85;11,10;9,09;10,01;11,10;9,09;10,01;8,02;4,73;6,37;8,02;4,73;6,37;6,86;3,44;1,62;4,79;6,80;5,10;2,60;0,00;2,60;4,70
F5;17,35;15,21;13,98;13,98;14,83;12,30;14,83;12,30;12,47;9,59;9,28;12,47;9,59;9,28;9,85;5,67;5,11;9,85;5,67;5,11;8,95;5,48;2,15;2,78;8,90;7,20;4,70;2,60;0,00;2,60
F6;18,49;15,11;14,62;14,62;16,15;12,11;16,15;12,11;14,03;10,52;9,03;14,03;10,52;9,03;11,77;7,16;4,60;11,77;7,16;4,60;11,04;7,56;4,11;1,38;11,00;9,30;6,80;4,70;2,60;0,00
