;S1;S2;S3;S4;S5;S6;S7;S8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;F1;F2;F3;F4;F5;F6
S1;0,00;6,08;4,58;4,58;3,08;3,08;3,08;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S2;6,08;0,00;4,58;4,58;3,08;3,08;3,08;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S3;4,58;4,58;0,00;4,58;3,08;3,08;3,08;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S4;4,58;4,58;4,58;0,00;3,08;3,08;3,08;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S5;3,08;3,08;3,08;3,08;0,00;3,08;3,08;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S6;3,08;3,08;3,08;3,08;3,08;0,00;3,08;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S7;3,08;3,08;3,08;3,08;3,08;3,08;0,00;3,08;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
S8;3,08;3,08;3,08;3,08;3,08;3,08;3,08;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G9;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G10;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G11;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G12;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G13;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G14;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G15;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G16;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G17;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G18;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G19;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
G20;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,00;0,88;0,88;0,88;0,88;0,50;0,50;0,50;0,50;0,50;0,50
