;S1;S2;S3;S4;S5;S6;S7;S8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;F1;F2;F3;F4;F5;F6
S1;0,00;10,50;5,46;5,46;3,00;10,92;3,00;10,92;6,08;8,03;12,13;6,08;8,03;12,13;10,51;11,75;14,86;10,51;11,75;14,86;13,73;14,17;15,41;17,28;14,61;14,71;15,20;15,91;16,85;17,99
S2;10,50;0,00;5,46;5,46;10,92;3,00;10,92;3,00;12,13;8,03;6,08;12,13;8,03;6,08;14,86;11,75;10,51;14,86;11,75;10,51;17,28;15,41;14,17;13,73;17,99;16,85;15,91;15,20;14,71;14,61
S3;5,46;5,46;0,00;3,00;5,46;5,46;6,91;6,91;6,97;4,58;6,97;9,22;7,58;9,22;13,11;12,01;13,11;10,43;9,01;10,43;13,31;14,10;12,35;14,94;14,12;13,58;13,15;13,15;13,48;14,12
S4;5,46;5,46;3,00;0,00;6,91;6,91;5,46;5,46;9,22;7,58;9,22;6,97;4,58;6,97;10,43;9,01;10,43;13,11;12,01;13,11;14,94;12,35;14,10;13,31;14,12;13,58;13,15;13,15;13,48;14,12
S5;3,00;10,92;5,46;6,91;0,00;10,50;6,00;12,09;3,08;6,09;10,94;9,08;10,49;13,88;13,51;14,49;17,11;7,51;9,16;12,91;10,73;12,97;12,81;16,32;11,61;11,73;12,35;13,21;14,33;15,65
S6;10,92;3,00;5,46;6,91;10,50;0,00;12,09;6,00;10,94;6,09;3,08;13,88;10,49;9,08;17,11;14,49;13,51;12,91;9,16;7,51;15,01;14,31;11,29;12,49;15,65;14,57;13,21;12,35;11,80;11,61
S7;3,00;10,92;6,91;5,46;6,00;12,09;0,00;10,50;9,08;10,49;13,88;3,08;6,09;10,94;12,91;9,16;7,51;13,51;14,49;17,11;12,49;11,29;14,31;15,01;11,61;11,73;12,35;13,21;14,33;15,65
S8;10,92;3,00;6,91;5,46;12,09;6,00;10,50;0,00;13,88;10,49;9,08;10,94;6,09;3,08;7,51;9,16;12,91;17,11;14,49;13,51;15,01;14,31;11,29;12,49;15,65;14,57;13,21;12,35;11,80;11,61
G9;6,08;12,13;6,97;9,22;3,08;10,94;9,08;13,88;0,00;5,25;10,50;12,16;13,24;16,07;12,63;13,68;16,42;4,43;6,87;11,40;7,65;10,04;10,36;14,10;8,53;8,70;9,51;10,60;11,97;13,53
G10;8,03;8,03;4,58;7,58;6,09;6,09;10,49;10,49;5,25;0,00;5,25;13,24;12,16;13,24;17,85;17,06;17,85;6,87;4,43;6,87;9,28;9,57;7,85;10,78;10,02;9,24;8,59;8,59;9,09;10,02
G11;12,13;6,08;6,97;9,22;10,94;3,08;13,88;9,08;10,50;5,25;0,00;16,07;13,24;12,16;16,42;13,68;12,63;11,40;6,87;4,43;12,99;11,73;8,41;9,41;13,53;12,26;10,60;9,51;8,78;8,53
G12;6,08;12,13;9,22;6,97;9,08;13,88;3,08;10,94;12,16;13,24;16,07;0,00;5,25;10,50;4,43;6,87;11,40;12,63;13,68;16,42;9,41;8,41;11,73;12,99;8,53;8,70;9,51;10,60;11,97;13,53
G13;8,03;8,03;7,58;4,58;10,49;10,49;6,09;6,09;13,24;12,16;13,24;5,25;0,00;5,25;6,87;4,43;6,87;17,85;17,06;17,85;10,78;7,85;9,57;9,28;10,02;9,24;8,59;8,59;9,09;10,02
G14;12,13;6,08;9,22;6,97;13,88;9,08;10,94;3,08;16,07;13,24;12,16;10,50;5,25;0,00;11,40;6,87;4,43;16,42;13,68;12,63;14,10;10,36;10,04;7,65;13,53;12,26;10,60;9,51;8,78;8,53
G15;10,51;14,86;13,11;10,43;13,51;17,11;12,91;7,51;12,63;17,85;16,42;4,43;6,87;11,40;0,00;5,25;10,50;8,20;9,74;13,32;4,98;4,76;8,59;10,98;4,10;4,44;5,87;7,52;9,35;11,27
G16;11,75;11,75;12,01;9,01;14,49;14,49;9,16;9,16;13,68;17,06;13,68;6,87;4,43;6,87;5,25;0,00;5,25;9,74;8,20;9,74;7,24;3,66;5,27;6,16;6,66;5,42;4,23;4,23;5,17;6,66
G17;14,86;10,51;13,11;10,43;17,11;13,51;7,51;12,91;16,42;17,85;12,63;11,40;6,87;4,43;10,50;5,25;0,00;13,32;9,74;8,20;11,62;7,71;6,09;3,22;11,27;9,71;7,52;5,87;4,61;4,10
G18;10,51;14,86;10,43;13,11;7,51;12,91;13,51;17,11;4,43;6,87;11,40;12,63;17,85;16,42;8,20;9,74;13,32;0,00;5,25;10,50;3,22;6,09;7,71;11,62;4,10;4,44;5,87;7,52;9,35;11,27
G19;11,75;11,75;9,01;12,01;9,16;9,16;14,49;14,49;6,87;4,43;6,87;13,68;17,06;13,68;9,74;8,20;9,74;5,25;0,00;5,25;6,16;5,27;3,66;7,24;6,66;5,42;4,23;4,23;5,17;6,66
G20;14,86;10,51;10,43;13,11;12,91;7,51;17,11;13,51;11,40;6,87;4,43;16,42;17,85;12,63;13,32;9,74;8,20;10,50;5,25;0,00;10,98;8,59;4,76;4,98;11,27;9,71;7,52;5,87;4,61;4,10
G21;13,73;17,28;13,31;14,94;10,73;15,01;12,49;15,01;7,65;9,28;12,99;9,41;10,78;14,10;4,98;7,24;11,62;3,22;6,16;10,98;0,00;3,61;7,00;10,54;0,88;1,91;4,29;6,36;8,45;10,54
G22;14,17;15,41;14,10;12,35;12,97;14,31;11,29;14,31;10,04;9,57;11,73;8,41;7,85;10,36;4,76;3,66;7,71;6,09;5,27;8,59;3,61;0,00;3,61;7,00;3,61;2,00;1,12;2,94;4,98;7,06
G23;15,41;14,17;12,35;14,10;12,81;11,29;14,31;11,29;10,36;7,85;8,41;11,73;9,57;10,04;8,59;5,27;6,09;7,71;3,66;4,76;7,00;3,61;0,00;3,61;7,06;5,37;2,94;1,12;1,65;3,61
G24;17,28;13,73;14,94;13,31;16,32;12,49;15,01;12,49;14,10;10,78;9,41;12,99;9,28;7,65;10,98;6,16;3,22;11,62;7,24;4,98;10,54;7,00;3,61;0,00;10,54;8,84;6,36;4,29;2,28;0,88
F1;14,61;17,99;14,12;14,12;11,61;15,65;11,61;15,65;8,53;10,02;13,53;8,53;10,02;13,53;4,10;6,66;11,27;4,10;6,66;11,27;0,88;3,61;7,06;10,54;0,00;1,70;4,20;6,30;8,40;10,50
F2;14,71;16,85;13,58;13,58;11,73;14,57;11,73;14,57;8,70;9,24;12,26;8,70;9,24;12,26;4,44;5,42;9,71;4,44;5,42;9,71;1,91;2,00;5,37;8,84;1,70;0,00;2,50;4,60;6,70;8,80
