;nach;I;I;II;II;III;III;III;III;IV;IV;IV;IV;IV;IV;V;V;V;V;V;V;VI;VI;VI;VI
von;;S1;S2;S3;S4;S5;S6;S7;S8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24
I;S1;0,00;0,00;0,17;0,17;0,53;0,53;0,53;0,53;3,18;3,18;3,18;3,18;3,18;3,18;4,68;4,68;4,68;4,68;4,68;4,68;10,06;10,06;10,06;10,06
I;S2;0,00;0,00;0,17;0,17;0,53;0,53;0,53;0,53;3,18;3,18;3,18;3,18;3,18;3,18;4,68;4,68;4,68;4,68;4,68;4,68;10,06;10,06;10,06;10,06
II;S3;0,17;0,17;0,00;0,00;0,36;0,36;0,36;0,36;3,01;3,01;3,01;3,01;3,01;3,01;4,51;4,51;4,51;4,51;4,51;4,51;9,89;9,89;9,89;9,89
II;S4;0,17;0,17;0,00;0,00;0,36;0,36;0,36;0,36;3,01;3,01;3,01;3,01;3,01;3,01;4,51;4,51;4,51;4,51;4,51;4,51;9,89;9,89;9,89;9,89
III;S5;0,53;0,53;0,36;0,36;0,00;0,00;0,00;0,00;2,65;2,65;2,65;2,65;2,65;2,65;4,15;4,15;4,15;4,15;4,15;4,15;9,53;9,53;9,53;9,53
III;S6;0,53;0,53;0,36;0,36;0,00;0,00;0,00;0,00;2,65;2,65;2,65;2,65;2,65;2,65;4,15;4,15;4,15;4,15;4,15;4,15;9,53;9,53;9,53;9,53
III;S7;0,53;0,53;0,36;0,36;0,00;0,00;0,00;0,00;2,65;2,65;2,65;2,65;2,65;2,65;4,15;4,15;4,15;4,15;4,15;4,15;9,53;9,53;9,53;9,53
III;S8;0,53;0,53;0,36;0,36;0,00;0,00;0,00;0,00;2,65;2,65;2,65;2,65;2,65;2,65;4,15;4,15;4,15;4,15;4,15;4,15;9,53;9,53;9,53;9,53
IV;G9;3,18;3,18;3,01;3,01;2,65;2,65;2,65;2,65;0,00;0,00;0,00;0,00;0,00;0,00;1,50;1,50;1,50;1,50;1,50;1,50;6,88;6,88;6,88;6,88
IV;G10;3,18;3,18;3,01;3,01;2,65;2,65;2,65;2,65;0,00;0,00;0,00;0,00;0,00;0,00;1,50;1,50;1,50;1,50;1,50;1,50;6,88;6,88;6,88;6,88
IV;G11;3,18;3,18;3,01;3,01;2,65;2,65;2,65;2,65;0,00;0,00;0,00;0,00;0,00;0,00;1,50;1,50;1,50;1,50;1,50;1,50;6,88;6,88;6,88;6,88
IV;G12;3,18;3,18;3,01;3,01;2,65;2,65;2,65;2,65;0,00;0,00;0,00;0,00;0,00;0,00;1,50;1,50;1,50;1,50;1,50;1,50;6,88;6,88;6,88;6,88
IV;G13;3,18;3,18;3,01;3,01;2,65;2,65;2,65;2,65;0,00;0,00;0,00;0,00;0,00;0,00;1,50;1,50;1,50;1,50;1,50;1,50;6,88;6,88;6,88;6,88
IV;G14;3,18;3,18;3,01;3,01;2,65;2,65;2,65;2,65;0,00;0,00;0,00;0,00;0,00;0,00;1,50;1,50;1,50;1,50;1,50;1,50;6,88;6,88;6,88;6,88
V;G15;4,68;4,68;4,51;4,51;4,15;4,15;4,15;4,15;1,50;1,50;1,50;1,50;1,50;1,50;0,00;0,00;0,00;0,00;0,00;0,00;5,38;5,38;5,38;5,38
V;G16;4,68;4,68;4,51;4,51;4,15;4,15;4,15;4,15;1,50;1,50;1,50;1,50;1,50;1,50;0,00;0,00;0,00;0,00;0,00;0,00;5,38;5,38;5,38;5,38
V;G17;4,68;4,68;4,51;4,51;4,15;4,15;4,15;4,15;1,50;1,50;1,50;1,50;1,50;1,50;0,00;0,00;0,00;0,00;0,00;0,00;5,38;5,38;5,38;5,38
V;G18;4,68;4,68;4,51;4,51;4,15;4,15;4,15;4,15;1,50;1,50;1,50;1,50;1,50;1,50;0,00;0,00;0,00;0,00;0,00;0,00;5,38;5,38;5,38;5,38
V;G19;4,68;4,68;4,51;4,51;4,15;4,15;4,15;4,15;1,50;1,50;1,50;1,50;1,50;1,50;0,00;0,00;0,00;0,00;0,00;0,00;5,38;5,38;5,38;5,38
V;G20;4,68;4,68;4,51;4,51;4,15;4,15;4,15;4,15;1,50;1,50;1,50;1,50;1,50;1,50;0,00;0,00;0,00;0,00;0,00;0,00;5,38;5,38;5,38;5,38
VI;G21;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00
VI;G22;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00
VI;G23;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00
VI;G24;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00
