Source.Name;Column1.3;Column1.4;Pressure;Flow;Amount;Ammountkorr;TimeDate;Länge;Querschnittsreduktion;filter_$
0_TWK_19_G10_______.xls;19;G10;0;0;0;0;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;0;0;0;0;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;,07;,2;,1;,1;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;,19;1,7;,1;,1;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;,6;2,3;,2;,2;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,2;2,9;,2;,2;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,39;3,1;,3;,3;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,39;3,2;,3;,3;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,5;3,1;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,69;3;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,5;2,3;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,39;1,6;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,39;,4;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,27;,2;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,27;0;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,27;0;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,27;0;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,39;0;,4;,4;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,57;,2;,5;,5;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,69;,5;,5;,5;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,5;,6;,5;,5;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,5;,4;,5;,5;11.09.2024 01:46;1,21;24,67;0
0_TWK_19_G10_______.xls;19;G10;1,5;0;,5;,5;11.09.2024 01:46;1,21;24,67;0
