Material_ID;Spec_ID;sigma_kPa;T_ini_mm;T_mm;eps_rel;M_A_mean_gm2;M_A_spec_gm2
NW500;1;2;6,42;6,42;0;593,84;571,7
NW500;1;5;6,42;6,01;0,063862928;593,84;571,7
NW500;1;20;6,42;5,29;0,176012461;593,84;571,7
NW500;1;50;6,42;4,45;0,306853583;593,84;571,7
NW500;1;100;6,42;3,36;0,476635514;593,84;571,7
NW500;1;150;6,42;2,89;0,549844237;593,84;571,7
NW500;1;200;6,42;2,62;0,591900312;593,84;571,7
NW500;1;500;6,42;2,11;0,671339564;593,84;571,7
NW500;1;1200;6,42;1,66;0,741433022;593,84;571,7
NW500;2;2;6,36;6,36;0;593,84;616,9
NW500;2;5;6,36;5,99;0,058176101;593,84;616,9
NW500;2;20;6,36;5,34;0,160377358;593,84;616,9
NW500;2;50;6,36;4,55;0,284591195;593,84;616,9
NW500;2;100;6,36;3,51;0,448113208;593,84;616,9
NW500;2;150;6,36;3,02;0,525157233;593,84;616,9
NW500;2;200;6,36;2,74;0,56918239;593,84;616,9
NW500;2;500;6,36;2,22;0,650943396;593,84;616,9
NW500;2;1200;6,36;1,75;0,724842767;593,84;616,9
NW500;3;2;6,17;6,17;0;593,84;554,0
NW500;3;5;6,17;5,77;0,064829822;593,84;554,0
NW500;3;20;6,17;5,06;0,179902755;593,84;554,0
NW500;3;50;6,17;4,26;0,309562399;593,84;554,0
NW500;3;100;6,17;3,22;0,478119935;593,84;554,0
NW500;3;150;6,17;2,77;0,551053485;593,84;554,0
NW500;3;200;6,17;2,51;0,593192869;593,84;554,0
NW500;3;500;6,17;2,01;0,674230146;593,84;554,0
NW500;3;1200;6,17;1,58;0,743922204;593,84;554,0
NW500;4;2;6,37;6,37;0;593,84;588,4
NW500;4;5;6,37;6,01;0,056514914;593,84;588,4
NW500;4;20;6,37;5,37;0,156985871;593,84;588,4
NW500;4;50;6,37;4,66;0,26844584;593,84;588,4
NW500;4;100;6,37;3,61;0,433281005;593,84;588,4
NW500;4;150;6,37;3,09;0,514913658;593,84;588,4
NW500;4;200;6,37;2,80;0,56043956;593,84;588,4
NW500;4;500;6,37;2,24;0,648351648;593,84;588,4
NW500;4;1200;6,37;1,76;0,723704867;593,84;588,4
NW500;5;2;6,38;6,38;0;593,84;584,9
NW500;5;5;6,38;5,99;0,061128527;593,84;584,9
NW500;5;20;6,38;5,28;0,172413793;593,84;584,9
NW500;5;50;6,38;4,48;0,297805643;593,84;584,9
NW500;5;100;6,38;3,41;0,465517241;593,84;584,9
NW500;5;150;6,38;2,93;0,540752351;593,84;584,9
NW500;5;200;6,38;2,66;0,5830721;593,84;584,9
NW500;5;500;6,38;2,14;0,664576803;593,84;584,9
NW500;5;1200;6,38;1,68;0,736677116;593,84;584,9
NW500;6;2;6,42;6,42;0;593,84;627,7
NW500;6;5;6,42;6,06;0,056074766;593,84;627,7
NW500;6;20;6,42;5,42;0,15576324;593,84;627,7
NW500;6;50;6,42;4,72;0,264797508;593,84;627,7
NW500;6;100;6,42;3,71;0,42211838;593,84;627,7
NW500;6;150;6,42;3,19;0,503115265;593,84;627,7
NW500;6;200;6,42;2,88;0,551401869;593,84;627,7
NW500;6;500;6,42;2,30;0,641744548;593,84;627,7
NW500;6;1200;6,42;1,81;0,718068536;593,84;627,7
NW500;7;2;6,23;6,23;0;593,84;590,8
NW500;7;5;6,23;5,85;0,060995185;593,84;590,8
NW500;7;20;6,23;5,15;0,173354735;593,84;590,8
NW500;7;50;6,23;4,32;0,306581059;593,84;590,8
NW500;7;100;6,23;3,27;0,475120385;593,84;590,8
NW500;7;150;6,23;2,81;0,548956661;593,84;590,8
NW500;7;200;6,23;2,55;0,590690209;593,84;590,8
NW500;7;500;6,23;2,06;0,669341894;593,84;590,8
NW500;7;1200;6,23;1,63;0,738362761;593,84;590,8
NW500;8;2;6,50;6,50;0;593,84;618,2
NW500;8;5;6,50;6,11;0,06;593,84;618,2
NW500;8;20;6,50;5,41;0,167692308;593,84;618,2
NW500;8;50;6,50;4,61;0,290769231;593,84;618,2
NW500;8;100;6,50;3,52;0,458461538;593,84;618,2
NW500;8;150;6,50;3,03;0,533846154;593,84;618,2
NW500;8;200;6,50;2,75;0,576923077;593,84;618,2
NW500;8;500;6,50;2,22;0,658461538;593,84;618,2
NW500;8;1200;6,50;1,75;0,730769231;593,84;618,2
NW500;9;2;6,46;6,46;0;593,84;604,9
NW500;9;5;6,46;6,08;0,058823529;593,84;604,9
NW500;9;20;6,46;5,42;0,160990712;593,84;604,9
NW500;9;50;6,46;4,70;0,27244582;593,84;604,9
NW500;9;100;6,46;3,56;0,448916409;593,84;604,9
NW500;9;150;6,46;3,04;0,529411765;593,84;604,9
NW500;9;200;6,46;2,75;0,574303406;593,84;604,9
NW500;9;500;6,46;2,20;0,659442724;593,84;604,9
NW500;9;1200;6,46;1,74;0,730650155;593,84;604,9
NW500;10;2;6,29;6,29;0;593,84;560,4
NW500;10;5;6,29;5,89;0,063593005;593,84;560,4
NW500;10;20;6,29;5,19;0,174880763;593,84;560,4
NW500;10;50;6,29;4,44;0,294117647;593,84;560,4
NW500;10;100;6,29;3,33;0,470588235;593,84;560,4
NW500;10;150;6,29;2,84;0,548489666;593,84;560,4
NW500;10;200;6,29;2,56;0,593004769;593,84;560,4
NW500;10;500;6,29;2,07;0,6709062;593,84;560,4
NW500;10;1200;6,29;1,62;0,742448331;593,84;560,4
NW800;1;2;7,13;7,13;0;871,55;866,7
NW800;1;5;7,13;6,82;0,043478261;871,55;866,7
NW800;1;20;7,13;6,11;0,143057504;871,55;866,7
NW800;1;50;7,13;5,27;0,260869565;871,55;866,7
NW800;1;100;7,13;4,47;0,373071529;871,55;866,7
NW800;1;150;7,13;4,00;0,438990182;871,55;866,7
NW800;1;200;7,13;3,70;0,481065919;871,55;866,7
NW800;1;500;7,13;3,03;0,575035063;871,55;866,7
NW800;1;1200;7,13;2,41;0,661991585;871,55;866,7
NW800;2;2;7,21;7,21;0;871,55;860,0
NW800;2;5;7,21;6,90;0,042995839;871,55;860,0
NW800;2;20;7,21;6,15;0,147018031;871,55;860,0
NW800;2;50;7,21;5,29;0,26629681;871,55;860,0
NW800;2;100;7,21;4,47;0,380027739;871,55;860,0
NW800;2;150;7,21;3,99;0,446601942;871,55;860,0
NW800;2;200;7,21;3,69;0,488210818;871,55;860,0
NW800;2;500;7,21;3,02;0,581137309;871,55;860,0
