VAR00001;VAR00002;VAR00003;VAR00004;VAR00005;VAR00006;VAR00007;VAR00008;VAR00009
1;1;0;2;110,152725;290,4;63,71;19,94; 
1;1;1;2;110,152725;290,4;1381,96;2,12; 
1;1;2;2;110,152725;290,4;459,15;2,76; 
1;1;31;2;110,152725;290,4;557,7;61,65; 
1;1;32;2;110,152725;290,4;316,05;182,21; 
1;1;33;2;110,152725;290,4;773,41;1,24; 
1;1;67;2;110,152725;290,4;529,94;9,6; 
1;1;68;2;110,152725;290,4;646,17;1,12; 
1;1;69;2;110,152725;290,4;970,77;162,3; 
1;1;70;2;110,152725;290,4;504,16;,05; 
1;1;71;2;110,152725;290,4;16,44;,2; 
1;1;72;2;110,152725;290,4;580,45;1,91; 
1;1;73;2;110,152725;290,4;1071,93;,36; 
1;2;0;2;110,152725;290,4;1821,59;83,82; 
1;2;1;2;110,152725;290,4;1707,68;1820,99; 
1;2;2;2;110,152725;290,4;1188,66;3285,88; 
1;2;3;2;110,152725;290,4;1747,54;240,28; 
1;2;71;2;110,152725;290,4;845,98;299,29; 
1;2;72;2;110,152725;290,4;374,72;520,13; 
1;2;73;2;110,152725;290,4;1107;22,85; 
1;2;74;2;110,152725;290,4;498,61;791,2; 
1;2;79;2;110,152725;290,4;654,75;303,98; 
1;2;80;2;110,152725;290,4;436,08;168,63; 
1;2;118;2;110,152725;290,4;669,71;26,39; 
1;2;119;2;110,152725;290,4;860,79;856,78; 
1;2;120;2;110,152725;290,4;331,74;297,47; 
1;2;134;2;110,152725;290,4;383,68;72,02; 
1;2;135;2;110,152725;290,4;995,93;727,66; 
1;2;136;2;110,152725;290,4;1596,13;33,43; 
1;2;148;2;110,152725;290,4;471,49;319,65; 
1;2;149;2;110,152725;290,4;731,42;91,54; 
1;2;151;2;110,152725;290,4;889,89;252,54; 
1;2;159;2;110,152725;290,4;461,47;21,5; 
1;2;160;2;110,152725;290,4;104,98;432,53; 
1;2;161;2;110,152725;290,4;477,7;6,51; 
1;2;166;2;110,152725;290,4;709,82;42,37; 
1;2;167;2;110,152725;290,4;674,63;197,89; 
1;2;168;2;110,152725;290,4;956,79;105,87; 
1;2;171;2;110,152725;290,4;727,33;300,39; 
1;2;172;2;110,152725;290,4;21,66;28,22; 
1;2;173;2;110,152725;290,4;549,69;620,09; 
